"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q2","SOT23","154.103mm","11.419mm","153.153mm","12.573mm","153.153mm","12.573mm","B","270.00","S8550"
"Q4","SOT23","149.597mm","16.245mm","150.547mm","15.091mm","150.547mm","15.091mm","B","90.00","2N3904"
"R64","0805_R","155.373mm","16.234mm","155.373mm","15.091mm","155.373mm","15.091mm","B","90.00","2K"
"R61","0805_R","152.96mm","16.234mm","152.96mm","17.377mm","152.96mm","17.377mm","B","270.00","4.7K"
"R62","0805_R","150.547mm","11.3583mm","150.547mm","10.2153mm","150.547mm","10.2153mm","B","90.00","4.7K"
"R63","0805_R","158.548mm","11.3583mm","158.548mm","10.2153mm","158.548mm","10.2153mm","B","90.00","0R"
"C3","0805_C","2.794mm","22.733mm","1.651mm","22.733mm","1.651mm","22.733mm","B","360.00","1uF"
"D1","SMB-DO-214AA_DIOM4436X24N","9.826mm","12.446mm","8.001mm","12.446mm","8.001mm","12.446mm","B","360.00","1N5824"
"L1","SMD_S7-7-5","9.192mm","19.05mm","12.192mm","19.05mm","12.192mm","19.05mm","B","180.00","33uH/1A"
"U1","TO-263-5","10.062mm","31.4817mm","13.462mm","26.543mm","13.462mm","26.543mm","B","180.00","LM2596S-5.0"
"D2","SMB-DO-214AA_DIOM4436X24N","18.415mm","28.2486mm","18.415mm","30.0736mm","18.415mm","30.0736mm","B","270.00","SMBJ20A"
"U5","LQFP32","44.0634mm","26.299mm","44.0634mm","26.299mm","46.8634mm","21.849mm","B","180.00","OB39R32T1W32VP"

